"MULTILINESTRING ((-73.94212011208602 40.79794379787267, -73.94051828039122 40.79726070107505))",24
"MULTILINESTRING ((-73.92018414979637 40.628644025148674, -73.91993759679957 40.62630738236936))",15
"MULTILINESTRING ((-73.84985704343156 40.90408688637418, -73.84791761272157 40.90393455257762))",17
"MULTILINESTRING ((-73.86255431532418 40.89013485316352, -73.8606898627562 40.88954199802967))",12
"MULTILINESTRING ((-73.96053213508254 40.72142571998845, -73.95924472734241 40.72062754622358))",2
"MULTILINESTRING ((-73.9197837967626 40.840876184874055, -73.92073054791945 40.840439154713025))",6
"MULTILINESTRING ((-73.91841189107973 40.83643921901454, -73.91743259526199 40.836105735682175))",8
"MULTILINESTRING ((-73.94109159524054 40.643720268730526, -73.94084860432629 40.64142339020408))",10
"MULTILINESTRING ((-73.86800652890945 40.84830196637336, -73.86785992993964 40.84886493088574))",12
"MULTILINESTRING ((-73.91077393824997 40.6264106162336, -73.91074066373406 40.62639547043059, -73.90993158605036 40.62602724712196))",1
"MULTILINESTRING ((-73.95903225204945 40.58327954654735, -73.9574358808178 40.58344826444039))",1
"MULTILINESTRING ((-74.1681311998542 40.52664178736434, -74.16764298217554 40.52587424160824))",3
"MULTILINESTRING ((-73.88763696318814 40.68040477900154, -73.88730460904874 40.67909753672406))",20
"MULTILINESTRING ((-73.88027239264318 40.68628036087431, -73.87907479610477 40.686888055325284))",16
"MULTILINESTRING ((-73.99685244944736 40.7577327089113, -73.99780832132376 40.75812866481687))",22
"MULTILINESTRING ((-73.98007013319037 40.6569401347679, -73.97787310981757 40.65560677420137))",5
"MULTILINESTRING ((-73.98492571673405 40.605312755932566, -73.98445750253173 40.60285376450903))",3
"MULTILINESTRING ((-73.96069809379583 40.655340924177956, -73.95986103179125 40.65563478893697))",6
"MULTILINESTRING ((-73.9701895150799 40.74810817169421, -73.9698730840867 40.74797655217746, -73.96975497211227 40.747926030010646, -73.96963558235814 40.74787432749866, -73.9687950398541 40.74751468415958))",1
"MULTILINESTRING ((-74.00447604830411 40.623144188605394, -74.00227586285989 40.621814274426995))",3
"MULTILINESTRING ((-73.86565993624308 40.88448783822506, -73.86508025188797 40.88429242288778))",4
"MULTILINESTRING ((-73.8538715041126 40.834385033029825, -73.8544187413751 40.83479305513259))",6
"MULTILINESTRING ((-73.94074635720379 40.720155713509286, -73.93970014296332 40.720422657563915))",3
"MULTILINESTRING ((-73.85871220300648 40.86425255333884, -73.85890956790672 40.86463692612591, -73.85961281249301 40.86551271811319))",2
"MULTILINESTRING ((-73.98123713612154 40.60083669962892, -73.98078354041564 40.598447394856485))",6
"MULTILINESTRING ((-73.91706346682884 40.8636906133952, -73.9189422563906 40.86446291181417))",5
"MULTILINESTRING ((-74.00855364166799 40.733400910332215, -74.00980015255962 40.73320367184336))",1
"MULTILINESTRING ((-73.88778896782397 40.847618081255504, -73.8871122884414 40.84841546446455))",1
"MULTILINESTRING ((-73.9828082402563 40.702287235686335, -73.98117526613714 40.70223209426798))",2
"MULTILINESTRING ((-73.89734226802811 40.848315197938184, -73.8965047747995 40.84804477946424))",9
"MULTILINESTRING ((-73.95111565749674 40.71095661947493, -73.95123536470781 40.71169279302292))",9
"MULTILINESTRING ((-73.95824461638284 40.70420287231277, -73.95761638716614 40.703638381518715))",2
"MULTILINESTRING ((-73.90500677608485 40.904139950282136, -73.904720880227 40.90492283777471, -73.9043390683646 40.905968370187644))",3
"MULTILINESTRING ((-73.89581750419386 40.86913047938964, -73.89490960850875 40.87025935556252, -73.89365955598511 40.87085832333907))",5
"MULTILINESTRING ((-73.97889623719598 40.65246370558301, -73.97823032294116 40.65272112057287))",2
"MULTILINESTRING ((-74.00860085403332 40.711392239708985, -74.00845963911205 40.71123543652849, -74.00775834326444 40.710805284963094))",5
"MULTILINESTRING ((-73.84297829961439 40.85322325314813, -73.84291861183422 40.85334853802477, -73.84287323837434 40.85344377589692, -73.84274730264431 40.85365919111005, -73.84260120952978 40.85386781575107, -73.84243599436812 40.85406803991643, -73.842252952323 40.854258397119196, -73.84205367679652 40.85443755680697))",2
"MULTILINESTRING ((-73.91475568496615 40.684337937431515, -73.91330728110945 40.684520857319))",2
"MULTILINESTRING ((-73.95272325270483 40.80419027295676, -73.9527599491435 40.80503048889673))",2
"MULTILINESTRING ((-73.93085870147209 40.8178395958221, -73.93082940952857 40.81795142877125))",1
"MULTILINESTRING ((-73.91094270221893 40.659060591378186, -73.91054874458841 40.657525102333246))",3
"MULTILINESTRING ((-74.01208718758026 40.709078118953514, -74.01193492725311 40.70930588333293))",4
"MULTILINESTRING ((-74.0763732524042 40.631270603870256, -74.07749226792043 40.63157071917931))",2
"MULTILINESTRING ((-74.1587474255505 40.58115311658435, -74.15885218573213 40.58105194801939, -74.15891462754122 40.580905474537936, -74.15927702512622 40.580055367151495))",9
"MULTILINESTRING ((-73.96665397056448 40.591676744301, -73.96651951178761 40.59095287346437))",3
"MULTILINESTRING ((-73.83822701012235 40.888644524510056, -73.83732165118191 40.88874196375342))",2
"MULTILINESTRING ((-74.14018277764117 40.55156110353093, -74.14211603660095 40.550133021398786))",1
"MULTILINESTRING ((-74.14196224643591 40.60553936218326, -74.14197084783108 40.604449997647684))",2
"MULTILINESTRING ((-74.09258665864597 40.60514053596871, -74.09244145252241 40.60411958645066, -74.09260921137286 40.60323012263158))",4
"MULTILINESTRING ((-73.94938291473402 40.639928189773954, -73.94841343365796 40.63998746357856))",1
"MULTILINESTRING ((-73.99838944944358 40.62125945752144, -73.99670935103228 40.62027352268099))",2
"MULTILINESTRING ((-73.96590033909382 40.76535728318585, -73.96544434773637 40.76598394317808))",2
"MULTILINESTRING ((-74.06575186213605 40.59590918976789, -74.06583290148828 40.59536906507169))",1
"MULTILINESTRING ((-73.9568070910888 40.707879165852255, -73.95626945244288 40.7078495615198))",1
"MULTILINESTRING ((-73.91608914419483 40.81296556789067, -73.91571885037318 40.81361573651892))",1
"MULTILINESTRING ((-73.9188536166713 40.637123540689856, -73.91714662190425 40.635588764087984))",1
"MULTILINESTRING ((-74.06951694830596 40.60302454829113, -74.06975394754761 40.602439056353795, -74.06977666379535 40.60237915826434, -74.06981649182185 40.60232227501763, -74.06987186327848 40.60227255942435, -74.06993902510028 40.60223337287322, -74.07001288673717 40.60220656444864))",4
"MULTILINESTRING ((-74.13350260969683 40.63779826615062, -74.13365307460136 40.6376002294403))",1
"MULTILINESTRING ((-74.16618786741621 40.5529523702855, -74.166418772745 40.55421730783942))",1
"MULTILINESTRING ((-74.18131080370588 40.56487731510691, -74.18116163803408 40.5641835773607))",1
"MULTILINESTRING ((-73.86237157609695 40.86553099039777, -73.86154239755807 40.86615362323762))",1
"MULTILINESTRING ((-73.75426212406744 40.597316287459755, -73.75425059349753 40.59823767151892))",2
"MULTILINESTRING ((-73.88987439166343 40.67830215044867, -73.88949742719062 40.67682910402093))",1
"MULTILINESTRING ((-73.89899877638746 40.83389136457582, -73.89849789802548 40.83376622482044, -73.89809384745055 40.83366527418551))",1
"MULTILINESTRING ((-73.8917631392697 40.86920020936863, -73.89159390814312 40.86942112056188))",2130
"MULTILINESTRING ((-73.925186190492 40.642397291017325, -73.925126571323 40.642724599797795, -73.92497000406121 40.64358402470869))",1273
"MULTILINESTRING ((-73.90456891332471 40.67951553702155, -73.90404639808888 40.67922059801916))",24
"MULTILINESTRING ((-73.9583949667519 40.81579688632945, -73.95793786346961 40.816362737259645))",17
"MULTILINESTRING ((-73.89177696390095 40.83052048878298, -73.89174962536806 40.83062132806293))",1226
"MULTILINESTRING ((-73.93091057561882 40.822231195757276, -73.93111089561289 40.82470056494818, -73.93111970692846 40.82480034562457))",751
"MULTILINESTRING ((-73.8678556837324 40.877750605112446, -73.86765402349086 40.87770221172672))",66
"MULTILINESTRING ((-73.96407630211964 40.7678602463405, -73.96246998994314 40.76718493328545))",37
"MULTILINESTRING ((-73.86067324116597 40.82841898583477, -73.86161897906229 40.830503358863396))",16
"MULTILINESTRING ((-73.88852796902937 40.8187145574281, -73.88855702512784 40.818822034199265, -73.88857719758663 40.81889665083, -73.88887630672205 40.820003018462884))",17
"MULTILINESTRING ((-73.99117623203007 40.717342959089784, -73.99071607837747 40.71826922342818))",328
"MULTILINESTRING ((-73.94326176928699 40.68005060662398, -73.94120864299792 40.67993835324957))",441
"MULTILINESTRING ((-73.90258111677032 40.67553878107146, -73.90252209316527 40.67554053217195, -73.90245948474274 40.67554313560032, -73.9023869150415 40.6755469913585, -73.9022342531753 40.675555110307066, -73.90164609332487 40.67552080391376))",113
"MULTILINESTRING ((-73.92108266966214 40.80501540774617, -73.91929003527501 40.8042573693916))",52
"MULTILINESTRING ((-73.85561851117899 40.81060771695554, -73.8557729840231 40.811462789699235))",14
"MULTILINESTRING ((-73.87256918055894 40.66615681954152, -73.87176818451185 40.66654896885681))",1202
"MULTILINESTRING ((-73.97777398523762 40.64534150335655, -73.97745295275836 40.64363643989168))",45
"MULTILINESTRING ((-73.99693858999157 40.66164706306092, -73.9975178762221 40.66108896407513))",3
"MULTILINESTRING ((-73.97513631158107 40.65309977283089, -73.97488322174863 40.65178229758342))",59
"MULTILINESTRING ((-73.95258511719025 40.80823801963459, -73.9529516643502 40.80839627905711))",130
"MULTILINESTRING ((-74.15444712229376 40.5338730813555, -74.15455531033216 40.53375229178248))",578
"MULTILINESTRING ((-74.16992202400137 40.575861960182976, -74.1700369438012 40.57398095097469))",302
"MULTILINESTRING ((-73.98738718501711 40.73587893289767, -73.98696115509269 40.73646434191635))",22
"MULTILINESTRING ((-74.14863499827453 40.55978252699089, -74.15094016048536 40.558638553023656))",2
"MULTILINESTRING ((-73.97670323582177 40.76499544998824, -73.97954417361035 40.7661974149204))",445
"MULTILINESTRING ((-73.96160754045954 40.764366161664704, -73.96114862936842 40.764987445473395))",1
