start station latitude,start station longitude,end station latitude,end station longitude
40.7284186,-73.98713956,40.72110063,-73.9919254
40.7158155,-73.99422366,40.751873,-73.977706
40.76727216,-73.99392888,40.75660359,-73.9979009
40.7403432,-73.98955109,40.7284186,-73.98713956
40.72706363,-73.99662137,40.71286844,-73.95698119
40.74854862,-73.98808416,40.74854862,-73.98808416
40.76461837,-73.98789473,40.76019252,-73.9912551
40.71638032,-73.94821286,40.71534825,-73.96024116
40.71638032,-73.94821286,40.71534825,-73.96024116
40.76030096,-73.99884222,40.71893904,-73.99266288
40.75640548,-73.9900262,40.7546011,-73.97187886
40.78499979,-73.97283406,40.8021174,-73.96818053
40.70955958,-74.00653609,40.70706456,-74.00731853
40.7158155,-73.99422366,40.751873,-73.977706
40.71167351,-73.95141312,40.70691254,-73.95441667
40.7172274,-73.98802084,40.72621788,-73.98379855
40.74718234,-73.9432635,40.744023,-73.976056
40.76227205,-73.98788205,40.78472675,-73.96961715
40.7746671,-73.98470567,40.746524,-73.977885
40.74691959,-74.00451887,40.73704984,-73.99009296
40.73781509,-73.99994661,40.73827428,-73.98751968
40.7284186,-73.98713956,40.71893904,-73.99266288
40.72405549,-74.00965965,40.740983,-74.001702
40.73223272,-73.98889957,40.73901691,-74.00263761
40.7190095,-73.95852515,40.72906,-73.95779
40.76227205,-73.98788205,40.76019252,-73.9912551
40.74144387,-73.97536082,40.751873,-73.977706
40.69383,-73.990539,40.6861758,-73.99645295
40.73223272,-73.98889957,40.73624527,-73.98473765
40.716887,-73.963198,40.69237074,-73.93705428
40.75206862,-73.96784384,40.717571,-74.005549
40.77862688,-73.95772073,40.773763,-73.96222088
40.71745169,-73.95850939,40.70870368,-73.9448625
40.73223272,-73.98889957,40.73624527,-73.98473765
40.73492695,-73.99200509,40.73172428,-74.00674436
40.73038599,-74.00214988,40.75640548,-73.9900262
40.711512,-74.015756,40.71307916,-73.99851193
40.74854862,-73.98808416,40.770513,-73.988038
40.76030096,-73.99884222,40.74395411,-73.99144871
40.72740794,-73.98142006,40.71924,-73.95242
40.75929124,-73.98859651,40.74317449,-74.00366443
40.76590936,-73.97634151,40.76228826,-73.98336183
40.71745169,-73.95850939,40.73047309,-73.98672378
40.76663814,-73.95348296,40.7839636,-73.9471673
40.7612274,-73.96094022,40.7728384,-73.94989233
40.73221853,-73.98165557,40.713126,-73.984844
40.74238787,-73.99726235,40.73047309,-73.98672378
40.73047309,-73.98672378,40.73971301,-73.99456405
40.77224854,-73.95842135,40.7806284,-73.9521667
40.72165481,-74.00234737,40.718822,-73.99596
40.73535398,-74.00483091,40.72210379,-73.99724901
40.768254,-73.988639,40.7575699,-73.99098507
40.696192,-73.991218,40.6845683,-73.95881081
40.75455731,-73.96592976,40.73221853,-73.98165557
40.73047309,-73.98672378,40.71622644,-73.98261206
40.71335226,-73.94910336,40.71929301,-73.94500379
40.75118387,-73.97138715,40.72467721,-73.98783413
40.71285887,-73.96590294,40.7381765,-73.97738662
40.71285887,-73.96590294,40.7381765,-73.97738662
40.73047309,-73.98672378,40.72066442,-73.98517977
40.72110063,-73.9919254,40.76727216,-73.99392888
40.72110063,-73.9919254,40.76269882,-73.99301222
40.72481256,-73.94752622,40.72481256,-73.94752622
40.72110063,-73.9919254,40.76727216,-73.99392888
40.73223272,-73.98889957,40.73047309,-73.98672378
40.72153267,-73.95782357,40.70706456,-74.00731853
40.72467721,-73.98783413,40.7381765,-73.97738662
40.6843549,-73.98901629,40.6843549,-73.98901629
40.74144387,-73.97536082,40.73624527,-73.98473765
40.73624527,-73.98473765,40.7423543,-73.98915076
40.735238,-74.000271,40.73532427,-73.99800419
