"MULTILINESTRING ((-74.01156918149523 40.70424893065872, -74.01157634422235 40.70401945007062))",14,5
"MULTILINESTRING ((-73.95601055746974 40.652314272409455, -73.95266313989468 40.652489363708334))",13,5
"MULTILINESTRING ((-73.88962787578853 40.68423645375032, -73.8890889535278 40.68464055249922))",32,5
"MULTILINESTRING ((-73.89447530947155 40.8161560687894, -73.89433043732753 40.816295008935896, -73.89412249347471 40.816494440053724, -73.89292712207634 40.81764088504901))",16,5
"MULTILINESTRING ((-73.90118164126832 40.831424765076584, -73.90116335355117 40.831415218122444, -73.90114537974938 40.83140533387343, -73.9011277302212 40.831395117699365, -73.90111041466048 40.831384576812205, -73.90109344474921 40.831373716247846, -73.90107683017969 40.83136254422345, -73.90106058109028 40.831351065606064, -73.90104470695339 40.831339288110065, -73.90102921680032 40.831327219449456, -73.90101412098792 40.83131486583169, -73.90099942832664 40.83130223513811, -73.90098514718727 40.83128933424455, -73.9009712863782 40.83127617237252, -73.90095785360879 40.83126275622979, -73.90094485857037 40.83124909453607, -73.90093230698675 40.83123519433243, -73.90092020810609 40.831221065678406, -73.90090856853413 40.83120671578336, -73.9008973946533 40.831192153699206, -73.90088669372919 40.83117738780852, -73.9008764730259 40.831162427499066, -73.90086673760324 40.831147281318984, -73.90085749296028 40.83113195898956, -73.90084874525958 40.831116469059936, -73.90084050000047 40.83110082108381, -73.90083276158047 40.831085023943864, -73.90082553527637 40.83106908853381, -73.90081882482599 40.831053022395515, -73.90081263440256 40.83103683692431, -73.90080696818374 40.83102054050009, -73.90080182879937 40.831004144181755, -73.90079721998497 40.83098765701891, -73.90079314415104 40.83097108923266, -73.90078960370977 40.83095444987144, -73.90078660062905 40.83093775016108, -73.90078413732006 40.83092099982012, -73.90078221465086 40.830904208063174, -73.90078083458906 40.83088738628359, -73.90077999690045 40.83087054335996, -73.90077970333304 40.830853690015324, -73.90077995254838 40.8308368361325, -73.90078074585412 40.830819991931556))",52,5
"MULTILINESTRING ((-73.9002516228985 40.831194662153315, -73.90001352385629 40.83131622085619, -73.89978541543306 40.831447369622815))",60,5
"MULTILINESTRING ((-73.99864484984629 40.76403433591541, -73.99849707679952 40.764244940932485))",1,5
"MULTILINESTRING ((-73.92872655623637 40.68123682880225, -73.92578582992407 40.68157062698859))",13,5
"MULTILINESTRING ((-74.00900199071445 40.6222355681669, -74.00680205262022 40.62090565988247))",3,5
"MULTILINESTRING ((-73.92533517699567 40.705252732304615, -73.92359095349492 40.70702890992453))",14,5
"MULTILINESTRING ((-73.90155064913438 40.628218654170624, -73.90074286528947 40.62785818324145))",6,5
"MULTILINESTRING ((-73.84361155679831 40.83934832510312, -73.84453315441021 40.840032227305564))",2,5
"MULTILINESTRING ((-73.75335639011175 40.60227380409559, -73.75284972854756 40.604259896401636))",4,5
"MULTILINESTRING ((-73.97635730501408 40.6107844755666, -73.97591937773905 40.608495114847315))",3,5
"MULTILINESTRING ((-73.91829371924157 40.65948380681729, -73.9164858999143 40.657859089378924))",15,5
"MULTILINESTRING ((-73.90685192695759 40.8112090597963, -73.90583758056701 40.810997690174325))",4,5
"MULTILINESTRING ((-73.9933591537839 40.71907057180337, -73.9943022537695 40.719360388788694, -73.99439866324684 40.71945710892785))",3,5
"MULTILINESTRING ((-73.95580283071116 40.81706067890746, -73.9568280875621 40.81750251757241))",5,5
"MULTILINESTRING ((-73.92272843043314 40.66223123195687, -73.92090904220989 40.660599114535756))",28,5
"MULTILINESTRING ((-73.98296580900025 40.72129585093006, -73.98212881611715 40.72103890784773))",1,5
"MULTILINESTRING ((-73.97546679389926 40.674466290217985, -73.97295548540107 40.673487903276836))",2,5
"MULTILINESTRING ((-73.94173486758287 40.81278500921324, -73.94141040997137 40.81320526869382, -73.94141039783015 40.81320528460247, -73.94125698513525 40.81340401173831))",3,5
"MULTILINESTRING ((-73.94293567172068 40.721859169632694, -73.94200357816912 40.72194668393511))",1,5
"MULTILINESTRING ((-73.93035512685225 40.83450471046562, -73.92972086554065 40.835622685641404))",9,5
"MULTILINESTRING ((-73.86770278018457 40.85450456198166, -73.86761378409787 40.85662051622959))",8,5
"MULTILINESTRING ((-73.9110015297005 40.8451817545033, -73.9106232671231 40.8455311542894, -73.90973950415973 40.84617958227908))",7,5
"MULTILINESTRING ((-73.97769241231273 40.78709223057583, -73.97716313620154 40.787698695197804))",3,5
"MULTILINESTRING ((-73.93853851108832 40.60309788473308, -73.93847043486083 40.60273718037208, -73.93846403846753 40.60270331713175, -73.93811308681073 40.60084375716987))",9,5
"MULTILINESTRING ((-73.94643715447481 40.68144855623868, -73.94360103513047 40.68177439398834))",2,5
"MULTILINESTRING ((-73.94034863525383 40.636744756312964, -73.94010756311624 40.634474404251264))",2,5
"MULTILINESTRING ((-73.95559726049952 40.60994207954425, -73.95469559437015 40.610266059288016))",8,5
"MULTILINESTRING ((-73.90991777742664 40.82584890210837, -73.90955543182177 40.82651130239433))",1,5
"MULTILINESTRING ((-73.96778749910841 40.68798369061219, -73.96682069589545 40.688088712989924))",7,5
"MULTILINESTRING ((-73.87925001961021 40.67942700508715, -73.87909500979329 40.67879590398778, -73.87877417161107 40.67756806163832, -73.8786432692967 40.67703559510358))",1,5
"MULTILINESTRING ((-73.97335879350746 40.6165417152966, -73.97290326943272 40.61415296838451))",7,5
"MULTILINESTRING ((-73.99733205854355 40.66097713377566, -73.99516890198151 40.65966952204408))",2,5
"MULTILINESTRING ((-74.01232736561012 40.71394077033145, -74.01343897530212 40.71443041846111))",7,5
